#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
MSI MPG Z390 EDGE-5.jpg,1100432,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[1425,1121,1083,1080,1129,1425,1425],""all_points_y"":[652,657,744,820,895,906,652]}","{""Name"":""CPU""}"
MSI MPG Z390 EDGE-5.jpg,1100432,"{}",7,1,"{""name"":""rect"",""x"":877,""y"":1069,""width"":860,""height"":197}","{""Name"":""RAM""}"
MSI MPG Z390 EDGE-5.jpg,1100432,"{}",7,2,"{""name"":""rect"",""x"":810,""y"":304,""width"":132,""height"":660}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-5.jpg,1100432,"{}",7,3,"{""name"":""rect"",""x"":725,""y"":308,""width"":39,""height"":547}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-5.jpg,1100432,"{}",7,4,"{""name"":""rect"",""x"":378,""y"":308,""width"":43,""height"":526}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-5.jpg,1100432,"{}",7,5,"{""name"":""rect"",""x"":215,""y"":467,""width"":146,""height"":675}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-5.jpg,1100432,"{}",7,6,"{""name"":""rect"",""x"":39,""y"":74,""width"":1751,""height"":1394}","{""Name"":""MOTHERBOARD""}"
MSI MPG Z390 EDGE-6.jpg,60855,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[229,239,265,287,313,306,229],""all_points_y"":[154,263,280,277,262,152,154]}","{""Name"":""CPU""}"
MSI MPG Z390 EDGE-6.jpg,60855,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[339,358,407,392,339],""all_points_y"":[66,329,324,71,66]}","{""Name"":""RAM""}"
MSI MPG Z390 EDGE-6.jpg,60855,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[129,133,329,326,129],""all_points_y"":[358,395,360,325,358]}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-6.jpg,60855,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[149,150,304,303,149],""all_points_y"":[414,432,398,386,414]}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-6.jpg,60855,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[210,213,388,388,210],""all_points_y"":[554,588,536,500,554]}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-6.jpg,60855,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[162,162,316,315,162],""all_points_y"":[545,561,515,500,545]}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-6.jpg,60855,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[8,84,456,424,8],""all_points_y"":[20,694,560,34,20]}","{""Name"":""MOTHERBOARD""}"
MSI MPG Z390 EDGE-7.jpg,55492,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[282,285,312,337,364,367,282],""all_points_y"":[139,235,252,252,240,135,139]}","{""Name"":""CPU""}"
MSI MPG Z390 EDGE-7.jpg,55492,"{}",7,1,"{""name"":""rect"",""x"":417,""y"":51,""width"":62,""height"":261}","{""Name"":""RAM""}"
MSI MPG Z390 EDGE-7.jpg,55492,"{}",7,2,"{""name"":""rect"",""x"":140,""y"":278,""width"":212,""height"":39}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-7.jpg,55492,"{}",7,3,"{""name"":""rect"",""x"":173,""y"":322,""width"":178,""height"":18}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-7.jpg,55492,"{}",7,4,"{""name"":""rect"",""x"":175,""y"":398,""width"":173,""height"":14}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-7.jpg,55492,"{}",7,5,"{""name"":""rect"",""x"":227,""y"":420,""width"":155,""height"":41}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-7.jpg,55492,"{}",7,6,"{""name"":""rect"",""x"":96,""y"":34,""width"":446,""height"":442}","{""Name"":""MOTHERBOARD""}"
MSI MPG Z390 EDGE-8.jpg,509837,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[929,933,993,1050,1106,1112,929],""all_points_y"":[305,509,551,553,523,307,305]}","{""Name"":""CPU""}"
MSI MPG Z390 EDGE-8.jpg,509837,"{}",7,1,"{""name"":""rect"",""x"":1225,""y"":119,""width"":137,""height"":573}","{""Name"":""RAM""}"
MSI MPG Z390 EDGE-8.jpg,509837,"{}",7,2,"{""name"":""rect"",""x"":675,""y"":652,""width"":472,""height"":87}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-8.jpg,509837,"{}",7,3,"{""name"":""rect"",""x"":674,""y"":766,""width"":399,""height"":35}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-8.jpg,509837,"{}",7,4,"{""name"":""rect"",""x"":677,""y"":1016,""width"":402,""height"":34}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-8.jpg,509837,"{}",7,5,"{""name"":""rect"",""x"":787,""y"":1062,""width"":466,""height"":98}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-8.jpg,509837,"{}",7,6,"{""name"":""rect"",""x"":514,""y"":57,""width"":968,""height"":1202}","{""Name"":""MOTHERBOARD""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,0,"{""name"":""rect"",""x"":123,""y"":266,""width"":169,""height"":42}","{""Name"":""SSD""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,1,"{""name"":""rect"",""x"":319,""y"":402,""width"":163,""height"":38}","{""Name"":""SSD""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[217,219,250,276,305,306,217],""all_points_y"":[122,221,239,239,221,121,122]}","{""Name"":""CPU""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,3,"{""name"":""rect"",""x"":362,""y"":21,""width"":65,""height"":276}","{""Name"":""RAM""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,4,"{""name"":""rect"",""x"":107,""y"":313,""width"":200,""height"":20}","{""Name"":""GPU""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,5,"{""name"":""rect"",""x"":108,""y"":431,""width"":198,""height"":21}","{""Name"":""GPU""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,6,"{""name"":""rect"",""x"":25,""y"":12,""width"":468,""height"":468}","{""Name"":""MOTHERBOARD""}"
